Year_of_study,Field_of_study,Ever_used_platform,Time_investing,Main_platform_type,Confidence_in_terms,Return_in_30_years,Purchasing_power_q,Single_stock_risk_q,Risk_Reward,Inflation_time_value_q,Diversification_purpose_q,Inflation_rate_q,Knowledge_improved,Confidence_interpreting_data,Features_used_most,Regretted_misinterpretation,Frequency_based_on_app_data,Greater_influence,Apps_oversimplify,Likely_to_use_new_features,Data_viz_helps
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,It stays the same,Not sure,Higher risk generally leads to higher potential reward,£100 today,To guarantee higher overall returns,Not sure,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Sometimes,Personal decisions,Agree,Very likely,Agree
1st year,Humanities / Arts,Yes,Over 2 years,Robo-advisor,Not confident,Compound interest/growth,Not sure,Not sure,Not sure,£100 today,To minimize fees and expenses,Less than 10% interest,Significantly,Confident,Stock performance charts,Yes,Rarely,Personal decisions,Agree,Very unlikely,Strongly disagree
3rd year,Engineering/ Science,Yes,Less than 6 months,Trading app,Very confident,Will be equal,It increases,Not sure,Not sure,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Somewhat confident,AI or data insights,No,Rarely,Personal decisions,Neutral,Unlikely,Strongly agree
1st year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Very confident,Capital (Your Investment),It stays the same,As risky,Not sure,£100 today,To minimize fees and expenses,Not sure,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Sometimes,Personal decisions,Strongly agree,Very likely,Disagree
3rd year,Humanities / Arts,Yes,Less than 6 months,Other,Confident,Compound interest/growth,It decreases,Not sure,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Not sure,Slightly,Somewhat confident,Stock performance charts,No,Sometimes,Personal decisions,Strongly agree,Neutral,Neutral
Postgraduate,Humanities / Arts,Yes,1-2 years,Robo-advisor,Very confident,Will be equal,Not sure,Less risky,Higher risk generally leads to higher potential reward,£100 today,Not sure,Less than 10% interest,Slightly,Confident,Stock performance charts,No,Sometimes,Social media trends,Disagree,Likely,Neutral
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Risk and reward are not related,£110 in one year,Not sure,Exactly 0% interest,N/A - Not an investor,Somewhat confident,Stock performance charts,No,Sometimes,Personal decisions,Agree,Very unlikely,Strongly agree
2nd year,Humanities / Arts,Yes,1-2 years,Robo-advisor,Confident,Compound interest/growth,Not sure,Not sure,Risk and reward are not related,No difference,To minimize fees and expenses,Less than 10% interest,Significantly,Not confident,Portfolio analytics,Not sure,Sometimes,Advice from others,Agree,Very unlikely,Neutral
Postgraduate,Humanities / Arts,Yes,6-12 months,Robo-advisor,Confident,Will be equal,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Confident,Stock performance charts,Not sure,Sometimes,Personal decisions,Agree,Very likely,Strongly disagree
Postgraduate,Other,Yes,6-12 months,Other,Somewhat confident,Will be equal,It stays the same,As risky,Not sure,No difference,To guarantee higher overall returns,Less than 10% interest,Slightly,Confident,Market news,No,Rarely,Advice from others,Strongly agree,Unlikely,Strongly agree
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Very confident,Capital (Your Investment),It increases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£110 in one year,To minimize fees and expenses,Exactly 0% interest,N/A - Not an investor,Confident,Portfolio analytics,No,Sometimes,Social media trends,Agree,Neutral,Agree
3rd year,Other,Yes,Over 2 years,Trading app,Confident,Will be equal,It decreases,As risky,Higher risk generally leads to lower potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Somewhat confident,Portfolio analytics,No,Rarely,Social media trends,Agree,Very likely,Agree
3rd year,Other,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Not Sure,It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,Not sure,Less than 10% interest,N/A - Not an investor,Very confident,Other,No,Sometimes,Advice from others,Agree,Neutral,Disagree
2nd year,Humanities / Arts,Yes,Less than 6 months,Robo-advisor,Somewhat confident,Capital (Your Investment),It increases,Not sure,Higher risk generally leads to higher potential reward,£100 today,Not sure,Less than 10% interest,Slightly,Somewhat confident,AI or data insights,Not sure,Rarely,Advice from others,Agree,Very unlikely,Neutral
1st year,Business / Economics,Yes,Less than 6 months,Trading app,Somewhat confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Less than 10% interest,Significantly,Somewhat confident,Stock performance charts,No,Never,Data and analytics,Strongly agree,Neutral,Agree
2nd year,Business / Economics,Yes,Less than 6 months,Trading app,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To guarantee higher overall returns,Exactly 10% interest,Slightly,Confident,Portfolio analytics,No,Sometimes,Data and analytics,Strongly disagree,Neutral,Agree
2nd year,Business / Economics,Yes,Over 2 years,Robo-advisor,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Less than 10% interest,Significantly,Confident,Market news,No,Never,Social media trends,Agree,Likely,Agree
3rd year,Business / Economics,Yes,6-12 months,Trading app,Confident,Compound interest/growth,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,To guarantee higher overall returns,Exactly 10% interest,No,Somewhat confident,Stock performance charts,No,Rarely,Advice from others,Agree,Unlikely,Neutral
3rd year,Business / Economics,Yes,6-12 months,Trading app,Very confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Somewhat confident,Portfolio analytics,Not sure,Often,Personal decisions,Agree,Unlikely,Neutral
3rd year,Business / Economics,Yes,Over 2 years,Trading app,Confident,Compound interest/growth,It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 0% interest,Significantly,Not confident,Stock performance charts,Yes,Sometimes,Social media trends,Disagree,Very likely,Neutral
Postgraduate,Business / Economics,Yes,1-2 years,Robo-advisor,Confident,Compound interest/growth,It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,To minimize fees and expenses,Not sure,Moderately,Somewhat confident,Stock performance charts,No,Sometimes,Advice from others,Disagree,Very unlikely,Agree
3rd year,Other,No,N/A - Not an investor,N/A - Not an investor,Very confident,Capital (Your Investment),It stays the same,As risky,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Market news,No,Never,Personal decisions,Agree,Very likely,Neutral
2nd year,Engineering/ Science,Yes,Less than 6 months,Trading app,Confident,Not Sure,It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,Not sure,Exactly 10% interest,Slightly,Somewhat confident,Portfolio analytics,Yes,Rarely,Social media trends,Agree,Unlikely,Neutral
3rd year,Other,No,N/A - Not an investor,N/A - Not an investor,Not confident,Capital (Your Investment),It stays the same,Not sure,Risk and reward are not related,£110 in one year,To minimize fees and expenses,Not sure,N/A - Not an investor,Confident,Portfolio analytics,No,Sometimes,Personal decisions,Strongly agree,Very unlikely,Disagree
1st year,Other,Yes,Less than 6 months,Trading app,Very confident,Compound interest/growth,It increases,Less risky,Higher risk generally leads to higher potential reward,£100 today,To reduce the overall risk of the portfolio,Less than 10% interest,Significantly,Somewhat confident,Market news,No,Always,Personal decisions,Strongly agree,Neutral,Strongly disagree
1st year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Will be equal,It decreases,As risky,Not sure,£100 today,To reduce the overall risk of the portfolio,Less than 10% interest,N/A - Not an investor,Somewhat confident,Stock performance charts,No,Sometimes,Social media trends,Strongly agree,Unlikely,Agree
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Not sure,£100 today,To reduce the overall risk of the portfolio,Not sure,N/A - Not an investor,Confident,Market news,No,Sometimes,Social media trends,Agree,Unlikely,Neutral
1st year,Business / Economics,Yes,Less than 6 months,Trading app,Confident,Compound interest/growth,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,No,Somewhat confident,Stock performance charts,No,Sometimes,Data and analytics,Disagree,Unlikely,Agree
3rd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Not sure,£110 in one year,To minimize fees and expenses,Less than 10% interest,N/A - Not an investor,Not confident,Stock performance charts,No,Often,Advice from others,Agree,Very likely,Strongly disagree
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Not Sure,It decreases,As risky,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Not confident,Other,Yes,Rarely,Social media trends,Strongly agree,Unlikely,Disagree
3rd year,Business / Economics,Yes,6-12 months,Robo-advisor,Confident,Capital (Your Investment),It decreases,Not sure,Not sure,£110 in one year,To guarantee higher overall returns,Less than 10% interest,Moderately,Not confident,Market news,No,Sometimes,Advice from others,Agree,Neutral,Neutral
3rd year,Humanities / Arts,Yes,6-12 months,Robo-advisor,Somewhat confident,Compound interest/growth,Not sure,Less risky,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Less than 10% interest,No,Confident,Portfolio analytics,No,Sometimes,Personal decisions,Agree,Neutral,Neutral
2nd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Very confident,Capital (Your Investment),It decreases,Less risky,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Confident,Stock performance charts,No,Rarely,Social media trends,Agree,Unlikely,Strongly disagree
3rd year,Humanities / Arts,Yes,Over 2 years,Robo-advisor,Somewhat confident,Not Sure,It decreases,As risky,Higher risk generally leads to higher potential reward,Not sure,To minimize fees and expenses,Less than 10% interest,No,Confident,Market news,Yes,Rarely,Personal decisions,Agree,Neutral,Agree
3rd year,Business / Economics,Yes,6-12 months,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Not confident,Portfolio analytics,No,Often,Personal decisions,Neutral,Neutral,Disagree
